,MSSV,NamSinh,GioiTinh,NoiSinh,Lopsh,Khoa,Hedt,KhoaHoc,ChuyenNganh2,TinhTrang,DiaChi_TinhTP
6966,6E6C2013XPvAibaEXe88ZV91oZ7/phFnfCMcZIXA,2001.0,1.0, 'Khánh Hòa', KHDL2019, KTTT, CQUI,14.0,7480109,1.0, 'Tỉnh Khánh Hòa'
6967,B6695081XPvAibaEXe88ZV91oZ7/ppT3fareFkof,2001.0,1.0, 'Thành phố Hồ Chí Minh', KTMT2019, KTMT, CQUI,14.0, D520214,1.0, 'Tỉnh Bình Dương'
6968,5F414D7DXPvAibaEXe88ZV91oZ7/pvBrSC5wlGup,2001.0,1.0, 'Hòa Bình', MMCL2019.1, MMT&TT, CLC,14.0,7480102,1.0, 'Thành phố Hồ Chí Minh'
6969,D17A44AAXPvAibaEXe9z1vm+pibC4YNoXt+gb5m9,2001.0,0.0, 'Quãng Ngãi', MMTT2019, MMT&TT, CQUI,14.0,7480102,1.0, 'Tỉnh Quảng Ngãi'
6970,B28BDA90XPvAibaEXe9z1vm+pibC4ZzCzidEdZAN,2001.0,1.0, 'Thái Bình', PMCL2019.1, CNPM, CLC,14.0, D480103,1.0, 'Tỉnh Bà Rịa - Vũng Tàu'
6971,912DDC59XPvAibaEXe9z1vm+pibC4Zpe5B5zeHrk,2001.0,0.0, 'Bến Tre', KHDL2019, KTTT, CQUI,14.0,7480109,1.0, 'Tỉnh Bến Tre'
6972,73192E30XPvAibaEXe8JDP83oALuEVkZLmNr6TwZ,2001.0,1.0, 'Bạc Liêu', KHCL2019.1, KHMT, CLC,14.0, D480101,1.0, 'Thành phố Bạc Liêu'
6973,327F789DXPvAibaEXe8JDP83oALuEXKVaLTrN4jr,2001.0,1.0, 'Gia Lai', HTTT2019, HTTT, CQUI,14.0, D480104,1.0, 'Tỉnh Gia Lai'
6974,1AB36F5DXPvAibaEXe8JDP83oALuEauA9GleSaYp,2001.0,1.0, 'Bình Định', MTCL2019.1, KTMT, CLC,14.0, D520214,1.0, 'Tỉnh Bình Định'
6975,796DD7BCXPvAibaEXe8JDP83oALuEXws3gk6+ozH,2001.0,1.0, 'Bình Thuận', HTCL2019.1, HTTT, CLC,14.0, D480104,1.0, 'Tỉnh Bình Thuận'
6976,933A6450XPvAibaEXe8JDP83oALuETBHivu8sRom,2001.0,1.0, 'Bình Dương', PMCL2019.1, CNPM, CLC,14.0, D480103,1.0, 'Phường Phú Lợi'
6977,648A4740XPvAibaEXe8JDP83oALuERC/Tuy0e3rp,2001.0,1.0, 'Kiên Giang', ATCL2019.1, MMT&TT, CLC,14.0, D480299,1.0, 'Thị xã Hà Tiên'
6978,EC8BF25AXPvAibaEXe8JDP83oALuEU0DrsqV1vPT,2001.0,1.0, 'Quãng Ngãi', KTPM2019, CNPM, CQUI,14.0, D480103,1.0, 'Tỉnh Quảng Ngãi'
6979,5C38F368XPvAibaEXe85+toEofK/t4uy7XOe90n9,2001.0,0.0, 'Quãng Ngãi', CTTT2019.1, HTTT, CTTT,14.0, D480104,1.0, 'Tỉnh Quảng Ngãi'
6980,9B90A041XPvAibaEXe+O8Ynm4+UKCjj4hk6yMx6W,2001.0,1.0, 'Bình Dương', KHCL2019.1, KHMT, CLC,14.0, D480101,1.0, 'Tỉnh Bình Dương'
6981,6FFB64F3XPvAibaEXe+O8Ynm4+UKCt8Sf6IhFlk9,2001.0,1.0, 'Ninh Thuận', ATCL2019.1, MMT&TT, CLC,14.0, D480299,1.0, 'Thành phố Phan Rang -Tháp Chàm'
6982,B1514F65XPvAibaEXe+/+q/J1of16Ga04T1Iec1N,2001.0,1.0, 'Thành phố Đà Nẵng', HTCL2019.1, HTTT, CLC,14.0, D480104,1.0, 'Thành phố Hồ Chí Minh'
6983,4647FAD4XPvAibaEXe+/+q/J1of16Gnbnnths+LI,2001.0,1.0, 'Thành phố Hồ Chí Minh', KTPM2019, CNPM, CQUI,14.0, D480103,1.0, 'Thành phố Hồ Chí Minh'
6984,BFC65127XPvAibaEXe+/+q/J1of16BnaXusfYYaq,2001.0,0.0, 'Thành phố Hồ Chí Minh', HTTT2019, HTTT, CQUI,14.0, D480104,1.0, 'Thành phố Hồ Chí Minh'
6985,CD908339XPvAibaEXe/75frwBkQTnfsPqd1ahLxn,2001.0,1.0, 'Thành phố Hồ Chí Minh', MMTT2019, MMT&TT, CQUI,14.0,7480102,1.0, 'Huyện Bình Chánh'
6986,6AF26F27XPvAibaEXe/75frwBkQTnWpTK5rW+sJw,2001.0,1.0, 'Cần Thơ', KTMT2019, KTMT, CQUI,14.0, D520214,5.0, 'Thành phố Cần Thơ'
